time,latitude,longitude,CRW_DHW,CRW_SST
UTC,degrees_north,degrees_east,Celsius weeks,Celsius
1985-04-01T12:00:00Z,17.975,-67.075,0.0,26.44
1985-05-02T12:00:00Z,17.975,-67.075,0.0,26.76
1985-06-02T12:00:00Z,17.975,-67.075,0.0,27.19
1985-07-03T12:00:00Z,17.975,-67.075,0.0,27.75
1985-08-03T12:00:00Z,17.975,-67.075,0.0,27.67
1985-09-03T12:00:00Z,17.975,-67.075,0.0,28.79
1985-10-04T12:00:00Z,17.975,-67.075,0.0,28.64
1985-11-04T12:00:00Z,17.975,-67.075,0.0,27.900000000000002
1985-12-05T12:00:00Z,17.975,-67.075,0.0,27.060000000000002
1986-01-05T12:00:00Z,17.975,-67.075,0.0,26.42
1986-02-05T12:00:00Z,17.975,-67.075,0.0,25.6
1986-03-08T12:00:00Z,17.975,-67.075,0.0,26.310000000000002
1986-04-08T12:00:00Z,17.975,-67.075,0.0,26.16
1986-05-09T12:00:00Z,17.975,-67.075,0.0,27.62
1986-06-09T12:00:00Z,17.975,-67.075,0.0,27.17
1986-07-10T12:00:00Z,17.975,-67.075,0.0,26.92
1986-08-10T12:00:00Z,17.975,-67.075,0.0,28.77
1986-09-10T12:00:00Z,17.975,-67.075,0.0,28.67
1986-10-11T12:00:00Z,17.975,-67.075,0.0,28.47
1986-11-11T12:00:00Z,17.975,-67.075,0.0,28.43
1986-12-12T12:00:00Z,17.975,-67.075,0.0,27.03
1987-01-12T12:00:00Z,17.975,-67.075,0.0,26.57
1987-02-12T12:00:00Z,17.975,-67.075,0.0,26.37
1987-03-15T12:00:00Z,17.975,-67.075,0.0,26.6
1987-04-15T12:00:00Z,17.975,-67.075,0.0,26.8
1987-05-16T12:00:00Z,17.975,-67.075,0.0,27.93
1987-06-16T12:00:00Z,17.975,-67.075,0.0,28.38
1987-07-17T12:00:00Z,17.975,-67.075,0.0,28.51
1987-08-17T12:00:00Z,17.975,-67.075,0.0,29.07
1987-09-17T12:00:00Z,17.975,-67.075,1.0,29.96
1987-10-18T12:00:00Z,17.975,-67.075,1.1400000000000001,28.78
1987-11-18T12:00:00Z,17.975,-67.075,1.29,29.1
1987-12-19T12:00:00Z,17.975,-67.075,0.15,28.43
1988-01-19T12:00:00Z,17.975,-67.075,0.15,27.2
1988-02-19T12:00:00Z,17.975,-67.075,0.0,25.86
1988-03-21T12:00:00Z,17.975,-67.075,0.0,27.03
1988-04-21T12:00:00Z,17.975,-67.075,0.0,27.85
1988-05-22T12:00:00Z,17.975,-67.075,0.0,28.25
1988-06-22T12:00:00Z,17.975,-67.075,0.0,27.59
1988-07-23T12:00:00Z,17.975,-67.075,0.0,28.44
1988-08-23T12:00:00Z,17.975,-67.075,0.0,28.52
1988-09-23T12:00:00Z,17.975,-67.075,0.0,28.72
